Title,Authors,URL,1_ML_Algorithm,1_Detection_domain,1_Open_source,1_Safety/security,2_Training_data,2_Anomaly_generation,Injected,2_Data_size,2_Collection_date,2_AV_level,3_Testing_metrics,3_Detection_latency,Dataset,Simulation,Comments,Links,Performance,,
Driver Drowsiness Detection System with OpenCV & Keras,M. Srivastava and S. A. Idrisi and T. Gupta,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9841195,Convolutional Neural Network,Image,NA,Safety,Real-world,"Anomalies (drowsiness instances) were generated based on the closure of the driver's eyes. If the eyes were closed beyond a certain threshold, the driver was considered drowsy.",NA,NA,NA,NA,Accuracy,NA,NTHU Drowsy Driver Detection Dataset,NA,Images of drivers' eyes (both open and closed) were captured using a camera and used for training and testing the model.,https://cv.cs.nthu.edu.tw/php/callforpaper/datasets/DDD/,,,
Keep the Moving Vehicle Secure: Context-Aware Intrusion Detection System for In-Vehicle CAN Bus Security,S. Rajapaksha and H. Kalutarage and M. O. Al-Kadri and G. Madzudzo and A. V. Petrovski,https://rgu-repository.worktribe.com/preview/1706529/RAJAPAKSHA%202022%20Keep%20the%20moving%20vehicle%20secure%20%28AAM%29.pdf,Gated Recurrent Unit,CAN,NA,Both,Real-world,The anomalies were generated by comparing the number of anomalies to the total number of IDs over an observation window. This comparison is used to classify the window status as anomalous or benign,NA,NA,NA,NA,F1-score,NA,ROAD,NA,,https://0xsam.com/road/,,,
Lightweight Diagnostic-based Secure Framework for Electronic Control Units in Vehicles,T. A. Awaad and M. W. El-Kharashi and M. Taher,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9615864,Extreme Gradient Boosting Machine,ECUs,NA,Security,Real-world,"The anomalies in the datasets were generated using a random-based attack generation algorithm. Some rows of the dataset were chosen at certain times to hold a malicious attack for one of the PIDs (Parameter IDs) randomly. The malicious value was generated based on randomness by multiplying the benign value by either a negative random value or by a positive value. This randomness attack is stronger than increasing or decreasing the current benign value by a fixed value and it covers several attacks, such as replay attack, chip tuning attack, and masquerade attack.",Anomalies were generated,NA,NA,NA,"Accuracy, Recall, FPR",NA,NA,NA,,,,,
DAGA: Detecting Attacks to In-Vehicle Networks via N-Gram Analysis,D. Stabili and L. Ferretti and M. Andreolini and M. Marchetti,https://www.researchgate.net/profile/Dario-Stabili/publication/361975845_DAGA_Detecting_Attacks_to_in-vehicle_networks_via_n-Gram_Analysis/links/62d7e45d11afc23ee4cea431/DAGA-Detecting-Attacks-to-in-vehicle-networks-via-n-Gram-Analysis.pdf,N-Gram Analysis (Not AI),CAN,https://github.com/SECloudUNIMORE/ACS/tree/master/DAGA,Security,Both,Anomalies are generated by simulating the attacks in a laboratory environment.,Simulated attacks,"The clean dataset is composed of 7 different CAN traces, including more than 8 million CAN messages corresponding to approximately 90 minutes of CAN traffic",NA,NA,"Recall, FP, FN, F1-score",NA,NA,Testbed,Dataset available,,,,
Weighted Local Outlier Factor for Detecting Anomaly on In-Vehicle Network,Y. Linghu and M. Xu and X. Li and H. Qian,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9394319,Local Outlier Factor,CAN,NA,Security,Real-world,"The anomalies represent different types of attacks on the in-vehicle network, including DoS attacks, fuzzy attacks, and impersonation attacks.",Attacking while recording the log,"The paper mentions the number of samples for each type of attack: 656,579 samples for DoS attacks, 591,990 samples for fuzzy attacks, and 2,350,827 samples for impersonation attacks.",NA,NA,F1-score,NA,NA,NA,The training data is retrieved from a public source and it includes both normal and abnormal (attack) scenarios. ,,,,
Evaluation of anomaly detection for in-vehicle networks through information-theoretic algorithms,M. Marchetti and D. Stabili and A. Guido and M. Colajanni,https://www.researchgate.net/profile/Dario-Stabili/publication/310360311_Evaluation_of_anomaly_detection_for_in-vehicle_networks_through_information-theoretic_algorithms/links/5a68423e0f7e9b76ea8fe652/Evaluation-of-anomaly-detection-for-in-vehicle-networks-through-information-theoretic-algorithms.pdf,Statistics-based,CAN,NA,Security,Real-world,"Anomalies were generated by injecting forged messages into the CAN bus traffic. Two attack scenarios were considered: a replay attack where the attacker replays several instances of the same message, and a fuzzing attack where the attacker injects forged messages with a valid ID and a random payload.",Attacking while recording the log,NA,NA,NA,NA,NA,NA,NA,,,,,
Detecting Stealthy Cyberattacks on Automated Vehicles via Generative Adversarial Networks,T. Li and M. Shang and S. Wang and M. Filippelli and R. Stern,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9922128,Generative Adversarial Networks,Vehicle Trajectory,NA,Security,Both,"Anomalies were generated in two scenarios: malicious attacks on the control command of vehicles, modeled as a random disturbance to vehicle acceleration, and data injection attacks on sensor measurements.",Attacking while recording the log,NA,NA,NA,"Recall, F1-score, Precision, Accuracy, AUC",NA,NA,Testbed,,,,,
An Unsupervised Learning Approach for Road Anomaly Segmentation Using RGB-D Sensor for Advanced Driver Assistance System,B. Ganguly and D. Dey and S. Munshi,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9758631,Regularized Diffusion Process,Image,NA,Safety,Real-world,Anomalies were based on real images of road surface obstacles.,Real-world collection,NA,NA,NA,"Precision-Recall, F1-score, AUC, overlapping ratio, MAE",NA,"KITTI, Cityscapes",NA,,,"KITTI: MAE 0.31, AUC 0.8, OvR 0.61. Cityscapes: AUC 0.8, MAE .18, OvR 0.71",,
Scene Novelty Prediction from Unsupervised Discriminative Feature Learning,A. Ranjbar and C. -H. Yeh and S. Hornauer and S. X. Yu and C. -Y. Chan,https://web.eecs.umich.edu/~stellayu/publication/doc/2020noveltyITSC.pdf,Unsupervised Discriminative Feature Learning,Image,NA,Safety,Real-world,"The anomalies in the data were generated by comparing a set of images against the total dataset. The dataset was split into N classes for a total of N experiments. At each experiment, a subset of class N(n ? N) was assigned to be the class of normal images, without any anomalies, in which the model builds a Gaussian distribution. The distance was then computed for images in the test set (all N classes), both normal and anomalous, which can then be used to evaluate the model�s performance.",Anomalies were generated,NA,NA,NA,AUC,NA,"KITTI, BDD100k",NA,,,AUC 0.79,,
Anomaly Detection from Cyber Threats via Infrastructure to Automated Vehicle,C. van der Ploeg and R. Smit and A. Siagkris-Lekkos and F. Benders and E. Silvas,https://arxiv.org/pdf/2104.11790.pdf,Estimation-based,I2V,NA,Safety,Simulation,The anomalies in this study are injected into the sensor data.,Random injections,NA,NA,NA,NA,NA,NA,Gazebo,,,,,
An Explainable Deep Learning Framework for Resilient Intrusion Detection in IoT-Enabled Transportation Networks,A. Oseni and N. Moustafa and G. Creech and N. Sohrabi and A. Strelzoff and Z. Tari and I. Linkov,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9830113,Deep Learning,IoV,NA,Security,Simulation,"The anomalies in the data were generated as part of the ToN_IoT dataset, which the authors used for their study. This dataset contains a wide range of network traffic, including both normal and malicious. The paper does not provide specific details on how the anomalies were generated within this dataset",NA,NA,NA,NA,"Accuracy, Precision, Recall, F1-score",NA,"ToN-IoT, Bot-IoT",NA,,https://research.unsw.edu.au/projects/toniot-datasets,https://research.unsw.edu.au/projects/bot-iot-dataset,,
A Hybrid Signal-Based Fault Diagnosis Method for Lithium-Ion Batteries in Electric Vehicles,J. Jiang and X. Cong and S. Li and C. Zhang and W. Zhang and Y. Jiang,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9335511,Signal-based,Battery,NA,Safety,Real-world,"The anomalies in the data were generated through the natural operation of the lithium-ion batteries in electric vehicles. The authors used voltage time series data collected from these batteries, and any deviations from normal operation would be considered anomalies",Real-world collection,NA,NA,NA,NA,NA,NA,NA,,,,,
CAN Radar: Sensing Physical Devices in CAN Networks based on Time Domain Reflectometry,M. Rumez and J. Dürrwang and T. Brecht and T. Steinshorn and P. Neugebauer and R. Kriesten and E. Sax,https://arxiv.org/pdf/1910.02847.pdf,Time Domain Reflectometry (not AI),CAN,NA,Security,Real-world,The anomalies in this study are not explicitly generated but are introduced as an unknown device connected to the Controller Area Network (CAN) in automotive systems.,NA,NA,NA,NA,MSE,NA,NA,LTSPICE,,,,,
Tampering Detection for Automotive Exhaust Aftertreatment Systems using Long Short-Term Memory Predictive Networks,R. Bolboacă and P. Haller and D. Kontses and A. Papageorgiou-Koutoulas and S. Doulgeris and N. Zingopis and Z. Samaras,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9799428,Long Short-Term Memory,Exhaust Aftertreatment,NA,Safety,Simulation,The anomalies in the data were generated as part of the simulation environment that runs a state-of-the-art model recreating the Exhaust Aftertreatment Systems (EAS) of a Renault MDA2C EuroV Heavy-Duty (HD) vehicle as well as the existing and possible future tampering methods,Simulated attacks,NA,NA,NA,CUMSUM,NA,NA,Testbed,,,,,
DDPG Based End-To-End Driving Enhanced With Safe Anomaly Detection Functionality for Autonomous Vehicles,G. Basile and A. Petrillo and S. Santini,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9967647,Deep Q-Learning Network,Lane Detection,NA,Safety,Simulation,Anomalies (sensor faults) were generated during the training of the Supervisor DQN-based sensor fault detector. A fault of a sensor was forced with a certain probability at a random time instant.,NA,NA,NA,NA,NA,NA,NA,TORCS,,,,,
Leveraging Byte-Level Features for LSTM-based Anomaly Detection in Controller Area Networks,L. Liang and X. Lin and B. Ma and X. Wang and Y. He and R. P. Liu and W. Ni,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10000642,Long Short-Term Memory,CAN,NA,Security,Real-world,The authors used a public dataset from a competition that has attacks included.,NA,NA,NA,NA,"F1-score, Precision, Recall, Accuracy",NA,NA,NA,,,,,
Identification of anomalies in lane change behavior using one-class SVM,S. Ramyar and A. Homaifar and A. Karimoddini and E. Tunstel,https://www.researchgate.net/profile/Saina-Ramyar-2/publication/309396302_Identification_of_Anomalies_in_Lane_Change_Behavior_Using_One-Class_SVM/links/59de35a60f7e9bcfab23f1d5/Identification-of-Anomalies-in-Lane-Change-Behavior-Using-One-Class-SVM.pdf,One Class Support Vector Machine,Lane Detection,NA,Safety,Simulation,Anomalies was identified as dangerous lane changing behaviour.,NA,NA,NA,NA,"Accuracy, Recall, Specificity, G-mean, BE",NA,"NDS, SHRP 2",NA,,,,,
CANLite: Anomaly Detection in Controller Area Networks with Multitask Learning,P. Balaji and M. Ghaderi and H. Zhang,https://pages.cpsc.ucalgary.ca/~mghaderi/docs/vtc22-canlite.pdf,Long Short-Term Memory,CAN,NA,Security,Real-world,Anomalies were generated by injecting fabricated CAN messages into the bus while capturing the network traffic,Attacking while recording the log,"For the Gear dataset, there were 4,443,142 messages, and for the RPM dataset, there were 4,621,702 messages",NA,NA,"ROC, F1-score",NA,Car-Hacking Dataset (HCRL),NA,"The paper mentions that the model was trained and evaluated on two datasets comprising raw CAN frames logged through the OBD port. The datasets were developed by The Hacking and Countermeasure Research Lab, Korea, and were acquired upon request. Fabricated CAN messages were simultaneously injected into the bus while capturing the network traffic",https://ocslab.hksecurity.net/Datasets/CAN-intrusion-dataset,Gear dataaset; F1: 0.9541. RPM dataset; F1: 1 ,,
Misbehavior Detection based on Deep Learning for VANETs,X. Liu,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9887617,Long Short-Term Memory,VANETs,NA,Security,Both,"The anomalies in the dataset were generated by introducing attacker vehicles into the system. These attacker vehicles performed five different types of position attacks, which created the anomalous data.",Attacking while recording the log,"10,000 data points.",NA,NA,Accuracy,NA,VeReMi,NA,"The training data used in this study is based on the VeReMi dataset, a Vehicular Ad-hoc Network (VANET) dataset. This dataset is a combination of simulated and real-world data. It is divided into 70-90% of regular vehicles and 10-30% of attacker vehicles, which perform five different types of position attacks.",,A .9,,
OBD_SecureAlert: An Anomaly Detection System for Vehicles,S. N. Narayanan and S. Mittal and A. Joshi,https://ebiquity.umbc.edu/_file_directory_/papers/792.pdf,Statistics-based,CAN,NA,Security,Real-world,Anomalies were generated by injecting unsafe data into the actual collected data.,Random injections,NA,NA,NA,MSE,NA,NA,NA,,,,,
Anomaly detection of CAN bus messages through analysis of ID sequences,M. Marchetti and D. Stabili,https://iris.unimore.it/bitstream/11380/1149168/1/FINAL_SUBMISSION.pdf,ID sequence (Not AI),CAN,NA,Security,Real-world,Anomalies were generated by injecting forged CAN messages within traffic traces gathered from an unmodified vehicle.,Random injections,NA,NA,NA,Recall,NA,NA,NA,"The data was collected during several hours of driving in real traffic conditions, but the exact date or period of collection is not specified.",,,,
TENET: Temporal CNN with Attention for Anomaly Detection in Automotive Cyber-Physical Systems,S. V. Thiruloga and V. K. Kukkala and S. Pasricha,https://arxiv.org/ftp/arxiv/papers/2109/2109.04565.pdf,Convolutional Neural Network,ECUs,NA,Security,Real-world,The anomalies were generated by modeling various real-world attacks on the test dataset.,Simulated attacks,NA,NA,NA,"Accuracy, ROC, AUC, FNR, MCC",NA,SynCAN,NA,The authors used an open-source CAN message dataset developed by ETAS and Robert Bosch GmbH.,https://github.com/etas/SynCAN,Not provided,,
Anomaly Detection for Controller Area Networks Using Long Short-Term Memory,V. Tanksale,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9286742,Long Short-Term Memory,CAN,NA,Security,Real-world,Anomalous frames were inserted in a single randomly selected location.,Random injections,NA,NA,NA,"Accuracy, Precision, Recall, Specificity",NA,NA,NA,,,,,
AISS for Road Anomaly Detection using WSN-Based Distributed Strategy,G. K. Sahoo and S. Gupta and P. Singh and S. K. Das,https://www.researchgate.net/profile/Goutam-Kumar-Sahoo-2/publication/342230559_AISS_for_Road_Anomaly_Detection_using_WSN-Based_Distributed_Strategy/links/5fc4be88458515b7978a0cea/AISS-for-Road-Anomaly-Detection-using-WSN-Based-Distributed-Strategy.pdf,Least Mean Squares,Image,NA,Safety,Real-world,No information on anomaly generation.,NA,NA,NA,NA,"MSD, EMSE",NA,NA,Testbed,,,,,
Robust anomaly-based intrusion detection system for in-vehicle network by graph neural network framework,"Xiao, Junchao and Yang, Lin and Zhong, Fuli and Chen, Hongbo and Li, Xiangxue",https://www.proquest.com/scholarly-journals/robust-anomaly-based-intrusion-detection-system/docview/2763975957/se-2?accountid=14511,Graph Neural Network,CAN,NA,Security,Both,"The anomalies or attacks were likely introduced during the data collection process from actual vehicles, though the exact method of generating these anomalies is not specified.",NA,NA,NA,NA,"Accuracy, Precision, F1-score, AUC",NA,Car-Hacking Dataset (HCRL),NA,,,"Car-Hacking: Accuracy, Precision, Recall, F1 = 1",,
Intrusion Detection System CAN-Bus In-Vehicle Networks Based on the Statistical Characteristics of Attacks,"Khan, Junaid and Dae-Woon Lim and Young-Sik, Kim",https://www.proquest.com/scholarly-journals/intrusion-detection-system-can-bus-vehicle/docview/2799783522/se-2,Statistics-based,CAN,NA,Security,Real-world,Anomalies were generated as a merge attack by combining DoS and a fuzzy attack and conducted a thorough analysis.,Attacking while recording the log,NA,NA,NA,"Accuracy, Precision, Recall, F1-score",NA,Car-Hacking Dataset (HCRL),NA,,https://ocslab.hksecurity.net/Datasets/CAN-intrusion-dataset,"DoS and Fuzzy: Accuracy, Precision, Recall, F1 = 1",,
NovelADS: A Novel Anomaly Detection System for Intra-Vehicular Networks,"Agrawal, Kushagra and Tejasvi Alladi and Agrawal, Ayush and Chamola, Vinay and Benslimane, Abderrahim",https://www.proquest.com/scholarly-journals/novelads-novel-anomaly-detection-system-intra/docview/2734387311/se-2?accountid=14511,Long Short-Term Memory,CAN,https://github.com/kushagra-2503/Artificial-Intelligence-Enabled-Security-Provisioning-for-Autonomous-Vehicles,Security,Real-world,Injected messages were used to attack an actual vehicle while the data was recorded in the CAN log.,Attacking while recording the log,NA,NA,NA,"Precision, Recall, F1-score",128.73 ms,Car-Hacking Dataset (HCRL),NA,,https://ocslab.hksecurity.net/Datasets/CAN-intrusion-dataset,"Dos; P 0.9997, R 0.9991, F1 0.9994. Fuzzy; P 0.9999, R 1, F1 1, Gear; R 0.9989, P 0.9993, F1 0.9991. RPM; P 0.9991, R 0.9990, F1 0.9991",,
Multi-BSM: An Anomaly Detection and Position Falsification Attack Mitigation Approach in Connected Vehicles,"Trabelsi, Zouheir and Syed Sarmad Shah and Hayawi, Kadhim",https://www.proquest.com/scholarly-journals/multi-bsm-anomaly-detection-position/docview/2728470109/se-2,Multi-BSM,GPS,NA,Security,Simulation,No information on anomaly generation.,NA,NA,NA,NA,"TP, TN, FP, FN, Accuracy",NA,NA,"OMNET++, SUMO, VEINS",,,,,
Symmetrical Simulation Scheme for Anomaly Detection in Autonomous Vehicles Based on LSTM Model,"Alsulami, Abdulaziz A and Qasem Abu Al-Haija and Alqahtani, Ali and Alsini, Raed",https://www.proquest.com/scholarly-journals/symmetrical-simulation-scheme-anomaly-detection/docview/2694077818/se-2,Long Short-Term Memory,ACC,NA,Security,Simulation,Attacks were implemented and injected into the sensor responsible for measuring the position of the ego car.,Attacking while recording the log,NA,NA,NA,"Precision, Recall, F1-score",NA,NA,MathWorks A.V. Software System,,,,,
Anomaly Detection in the Internet of Vehicular Networks Using Explainable Neural Networks (xNN),"Aziz, Saddam and Muhammad Talib Faiz and Adeniyi, Adegoke Muideen and Ka-Hong, Loo and Hasan, Kazi Nazmul and Xu, Linli and Irshad, Muhammad",https://www.proquest.com/scholarly-journals/anomaly-detection-internet-vehicular-networks/docview/2652999045/se-2,"Long Short-Term Memory, Explainable Neural Network, Convolutional Neural Network, Deep Learning",IoV,NA,Safety,Simulation,Dataset used in the study is called CICIDS2019 which has several malicious attacks. ,NA,NA,NA,NA,"Precision, Accuracy, F1-score, Recall",NA,"CICIDS2019, UNSW-NB15",NA,,,"xNN: .997 A, 993 P, R .987, F1 .987. ",,
Self-Supervised Anomaly Detection for In-Vehicle Network Using Noised Pseudo Normal Data,"Song, Hyun Min and Huy Kang Kim",https://www.proquest.com/scholarly-journals/self-supervised-anomaly-detection-vehicle-network/docview/2501323760/se-2?accountid=14511,Long Short-Term Memory,CAN,NA,Safety,Real-world,Anomalies are added to the dataset in the form of noise.,Attacking while recording the log,NA,NA,NA,"Accuracy, Precision, Recall, F1-score",NA,Car-Hacking Dataset (HCRL),NA,,,Average accuracy 0.9432,,
Hierarchical Anomaly Detection Model for In-Vehicle Networks Using Machine Learning Algorithms,"Park, Seunghyun and Jin-Young, Choi",https://www.proquest.com/scholarly-journals/hierarchical-anomaly-detection-model-vehicle/docview/2424853243/se-2,Multi-labeled Hierarchical Classification (Not AI),CAN,NA,Security,Real-world,"The message injection into the in-vehicle network was attempted in three attack types: flooding attack, fuzzing attack, and malfunction.",Random injections,"The dataset comprises a total of 12 files, with three types of attack data and three vehicle types in normal and message-injected states. This dataset was constructed using data from vehicle models from three vehicle manufacturers.",NA,NA,"Precision, Recall, F1-score",NA,NA,NA,,,,,
An Automobile Environment Detection System Based on Deep Neural Network and its Implementation Using IoT-Enabled In-Vehicle Air Quality Sensors,"Chung, Jae-joon and Hyun-Jung, Kim",https://www.proquest.com/scholarly-journals/automobile-environment-detection-system-based-on/docview/2382935389/se-2,Long Short-Term Memory,Vehicle Sensors,NA,Safety,Real-world,"Anomalies were generated based on certain criteria. For example, a typical case of abnormal detection is the smoking of a cigarette in the vehicle",NA,NA,NA,NA,Accuracy,NA,NA,NA,The data were collected by sensors installed in a vehicle during a test drive,,,,
Anomaly Detection of CAN Bus Messages Using a Deep Neural Network for Autonomous Vehicles,"Zhou, Aiguo and Li, Zhenyu and Shen, Yong",https://www.proquest.com/scholarly-journals/anomaly-detection-can-bus-messages-using-deep/docview/2323136307/se-2,Deep Learning,CAN,NA,Security,Simulation,Anomalies are aritificially injected into the simulated dataset. ,Random injections,"The number of the generated packets is about 200,000. Of this total number, 150,000 of them are normal CAN bus data and the rest of them are abnormal data.",NA,NA,Accuracy,NA,CANoe,NA,The CAN bus data packets are created by CANoe,https://databank.illinois.edu/datasets/IDB-9342111,,,
Anomaly detection and string stability analysis in connected automated vehicular platoons,"Wang, Y. and Zhang, R. and Masoud, N. and Liu, H.X.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151795511&doi=10.1016%2fj.trc.2023.104114&partnerID=40&md5=f8fff55b29a6ae0bbc059ee760f80ee7,"One Class Support Vector Machine, Extended Kalman filter",Vehicle Sensors,NA,Security,Simulation,Random anomalies are generated with 10% anomaly rate and injected into the trajectory data of the 5-th vehicle in the platoo,Random injections,In-vehicle speeds from the SPMD dataset with 4000 samples (400 seconds) for the training set and 2000 samples (200 seconds) for the test set.,NA,NA,ROC AUC,NA,SPMD,NA,,,ROC AUC 0.977,,
"Outlier Vehicle Trajectory Detection Using Deep Autoencoders in Santiago, Chile","Peralta, B. and Soria, R. and Nicolis, O. and Ruggeri, F. and Caro, L. and Bronfman, A.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147843135&doi=10.3390%2fs23031440&partnerID=40&md5=972b9b995514f8c3b515d5a46879faef,Autoencoder,Vehicle Trajectory,https://github.com/sagagk/Autoencoder_Outliers,Safety,Real-world,The anomalies seem to be identified based on the reconstruction error of the autoencoder. Measurements that provide more than 90% reconstruction error in an anomalous trajectory are considered anomalous.,NA,NA,NA,NA,"Accuracy, Precision",NA,NA,NA,,,,,
WKN-OC: A New Deep Learning Method for Anomaly Detection in Intelligent Vehicles,"He, Z. and Chen, Y. and Zhang, H.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149408876&doi=10.1109%2fTIV.2023.3243356&partnerID=40&md5=58d70a1f2cb684011d7fc4d75c710841,Wavelet Kernel Network with Omni-Scale Convolutional,Vehicle Sensors,NA,Security,Real-world,"Since the original SPMD dataset does not include anomalies, four real anomalies that could occur, with an anomaly rate of 5%, were simulated and added to the SPMD data set, namely instantaneous, constant, progressive drift, and deviation anomalies",Simulated attacks,NA,Two years,NA,"Accuracy, Recall, Precision, F1-score",NA,SPMD,NA,"The research data exchange (RDE) database from the SPMD program was used.This dataset records the
driving data of more than 2500 vehicles over two years, which
is huge and widely used in various areas of CAVs technology.",,"Instant: A 0.999, R 0.998, P 0.999, F1 0.999 Constant: A 0.997, R 0.988, P 0.991, F1 0.99 Gradual Drift: A 0.985, R 0.977, P 0.988, F1 0.983 ",,
MGA-IDS: Optimal feature subset selection for anomaly detection framework on in-vehicle networks-CAN bus based on genetic algorithm and intrusion detection approach,"Aksu, D. and Aydin, M.A.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129550859&doi=10.1016%2fj.cose.2022.102717&partnerID=40&md5=1d8a09b7fd51d70589912d042af9d820,Genetic Algorithm,CAN,NA,Security,Real-world,No information on anomaly generation.,NA,NA,NA,NA,"Accuracy, F1-score, Precision, Recall",NA,"UNSW-NB15, CIC-IDS2017, Car-Hacking Dataset (HCRL)",NA,"The paper uses a dataset from the HCRL dataset, which is a real-world dataset.",,Accuracy 1,All datasets are 100,
VetaDetect: Vehicle tampering detection with closed-loop model ensemble,"Haller, P. and Genge, B. and Forloni, F. and Baldini, G. and Carriero, M. and Fontaras, G.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127813623&doi=10.1016%2fj.ijcip.2022.100525&partnerID=40&md5=84646ca4f427bd3b25560096a38c935a,Statistics-based,Vehicle Tampering,NA,Security,Real-world,The anomalies or tampering instances in this paper are not artificially generated but are actual instances of vehicle tampering. The paper focuses on detecting tampering with environmental protection systems (EPS) in vehicles. ,Attacking while recording the log,NA,NA,NA,Accuracy,NA,NA,NA,,,,,
A hybrid ARIMA–WNN approach to model vehicle operating behavior and detect unhealthy states,"Alizadeh, M. and Rahimi, S. and Ma, J.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123570826&doi=10.1016%2fj.eswa.2022.116515&partnerID=40&md5=50df8d17119c147b4359cde26f6d4044,Wavelet Neural Network,Vehicle Sensors,NA,Safety,Real-world,"The anomalies were generated based on the residual errors of the ARIMA-WNN model. If the residual errors were higher than a certain threshold, it was considered an anomaly or an unhealthy state",Anomalies were generated,"The paper mentions that the total number of 54 unhealthy states have been detected during the test period, including 36 unhealthy states in the fuel rate data channel, 2 in the engine temperature data channel, and 16 in the injection control pressure data channel.",NA,NA,Accuracy,NA,NA,NA,,,,,
Hidden Markov Model based Anomaly Detection Method for In-vehicle Network,"Kim, Y.N. and Ko, S.M. and Kim, T.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133327550&doi=10.22667%2fJISIS.2022.05.31.115&partnerID=40&md5=66c5fccd370d1505e8bcf9ffdf74b4f9,Hidden Markov Model,CAN,NA,Security,Both,Anomalies were generated by using thresholds to determine what is an anomaly.,Anomalies were generated,"The training dataset consists of a total of 179,347 normal CAN messages. The test dataset for evaluating true negatives and false positives consists of 180,687 normal CAN messages. The test dataset for evaluating true positives and false negatives consists of 941,535 normal messages and 107,040 attack messages",NA,NA,"Accuracy, Precision, Recall, F1-score",NA,CAR HACKING: ATTACK & DEFENSE CHALLENGE 2020,NA,,https://ocslab.hksecurity.net/Datasets/carchallenge2020,,,
Physics-Based Misbehavior Detection System for V2X Communications,"Andrade Salazar, A.A. and McDaniel, P.D. and Sheatsley, R. and Petit, J.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127360245&doi=10.4271%2f12-05-03-0020&partnerID=40&md5=4a9c40de9086fbeadf7fb450e2b6f1a8,Physics-based,V2X,NA,Security,Real-world,Anomalies were generated by the author as simulated attacks.,Simulated attacks,NA,NA,NA,ROC,NA,NA,NA,,,,,
Detection and Classification of Anomalies in Internet of Vehicles using Convolutional Neural Networks,"Hade, P. and Waghmare, K.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149377507&doi=10.1109%2fICCST55948.2022.10040446&partnerID=40&md5=a16a4880002d6efad35ee0d5528a6676,Convolutional Neural Network,IoV,NA,Security,Simulation,"Anomalies are identifed as either one of five classes: Denial of Service (DoS), Fuzzy, RPM, Gear, and Normal.",Attacking while recording the log,"DoS 29501 messages, Fuzzy 24624, RPM spoofing 32539, Gear spoofing 29944, Normal state 703812",NA,NA,"FPR, Precision, Recall, Accuracy",NA,Car-Hacking Dataset (HCRL),NA,,,"R 0.9999, A 0.9999",,
Network Traffic Prediction for Intelligent Transportation Systems: A Reinforcement Learning Approach,"Song, J. and Liu, H. and Nie, L. and Ning, Z. and Obaidat, M.S. and Sadoun, B.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146921306&doi=10.1109%2fGLOBECOM48099.2022.10000764&partnerID=40&md5=403ff060e75eafa0b38bd15fe67b4e51,"Deep Q-Learning Network, Generative Adversarial Networks",VANETs,NA,Both,Simulation,No information on anomaly generation.,NA,NA,NA,NA,"SRMF, PCA",NA,NA,NA,,,,,
Anomaly detection method applied to vehicle monitoring,"Garcia, P. and Agard, B. and Saunier, N.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144563382&doi=10.1016%2fj.ifacol.2022.10.199&partnerID=40&md5=035e461b4adf90d0ce0fe4ba24930fa5,Detection of window-based outliers (not AI),Vehicle Sensors,NA,Both,Real-world,"The anomalies were generated based on a defined ratio called the Anomaly Score (AS). The AS represents the quotient between the area under the acceleration and the area under the speed for a given word, where the word refers to a specific time period.",NA,"The dataset used in the study is composed of 175,753 timestamps recorded every 0.1 seconds. This data was collected over the course of a working day of a garbage truck.",NA,NA,NA,NA,NA,NA,,,,,
Outlier Detection and Trust based Distributed Cooperative Spectrum Sensing in Internet of Vehicles,"Zhao, H. and Zhang, W. and Wu, X. and Li, H. and He, L.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143078266&doi=10.1109%2fCCPQT56151.2022.00027&partnerID=40&md5=1a7496c8b099ab14cd9487d92507cad9,Long Short-Term Memory,IoV,NA,Both,Simulation,No information on anomaly generation.,NA,NA,NA,NA,ROC,NA,NA,Matlab,,,,,
